dataset,nodes,features,classes,directed,emb_features,n_heads,max_nodes,init_lr,train_frac,epochs,edge_h,aff_h,min_beta,max_beta,metric_name,metric_value,metric_std,auc_value,auc_std,elapsed,seed
Cora,2708,1433,7,FALSE,358,4,2708,0.002,0.8,2000,0.81,0.6348,3.5027,3.5129,Hits@100,0.9124,0.0059,0.9711,0.0024,156,13
CiteSeer,3327,3703,6,FALSE,925,4,3327,0.002,0.8,2000,0.74,0.6136,3.3076,3.3137,Hits@100,0.9198,0.0034,0.9592,0.0015,341.8,13
PubMed,19717,500,3,FALSE,256,4,4000,0.0002,0.8,2000,0.8,0.5133,1.2972,1.2998,Hits@100,0.933,0.006,0.9661,0.0057,433.6,13
Texas,183,1703,5,FALSE,425,4,183,0.01,0.8,2000,0.21,0.183,6.932,8.2809,Hits@100,0.9857,0.0134,0.8949,0.023,46.8,13
Cornell,183,1703,5,FALSE,425,4,183,0.002,0.8,2000,0.3,0.3099,3.4586,3.5441,Hits@100,0.9856,0.0135,0.9332,0.0194,47.6,13
Wisconsin,251,1703,5,FALSE,425,4,251,0.01,0.8,2000,0.11,0.289,6.9253,7.7998,Hits@100,0.9478,0.0147,0.9111,0.01,48.8,13
Actor,7600,932,5,FALSE,233,4,4000,0.01,0.8,2000,0.22,0.3058,7.4152,7.8861,Hits@100,0.5272,0.0225,0.8889,0.0053,406.6,13
Photo,7650,745,8,FALSE,186,4,4000,0.002,0.8,2000,0.83,0.772,3.2505,3.2874,Hits@100,0.2471,0.0269,0.958,0.0019,434.6,13
Amazon-ratings,24492,300,5,FALSE,128,4,4000,0.0002,0.8,2000,0.38,0.5163,1.2164,1.2272,Hits@100,0.854,0.0263,0.9176,0.0078,342.2,13
Roman-empire,22662,300,18,FALSE,128,4,4000,0.0005,0.8,2000,0.05,0.3723,1.6984,1.7116,Hits@100,0.8516,0.0248,0.8929,0.0165,395.6,13
Questions,48921,301,2,FALSE,128,4,4000,0.0001,0.8,2000,0.84,0.3863,1.1004,1.1049,Hits@100,0.9078,0.0132,0.951,0.011,163.4,13
Squirrel,5201,2089,5,FALSE,300,4,3000,0.001,0.8,2000,0.22,0.368,1.7956,1.9719,Hits@100,0.1406,0.0207,0.9452,0.001,168.6,13
Chameleon,2277,2325,5,FALSE,581,4,2277,0.01,0.8,1000,0.23,0.5012,4.1574,4.2194,Hits@100,0.3022,0.017,0.9685,0.0013,67.6,13
ogbl-ppa,576289,58,0,FALSE,58,4,4000,0.001,0.8,1000,0,0.5064,1.7265,1.7383,Hits@100,0.9307,0.0161,0.9516,0.011,216.6,13
ogbl-collab,235868,128,0,FALSE,80,4,4000,0.001,0.8,1000,0,0.468,1.3975,1.4631,Hits@50,0.9201,0.0249,0.9233,0.0168,220.8,13
ogbl-citation2,2927963,128,0,FALSE,128,4,4000,0.0001,0.8,2000,0,0.5073,1.1117,1.1171,MRR,0.9485,0.0329,0.9346,0.0389,441.4,13
